,node_key,live,geometry,longitude,latitude
0,194739,True,POINT (454533.46875 301049.90625),-1.1961953726778054,52.60450543782386
1,1551014281,True,POINT (454482.125 301237.40625),-1.1969226119183125,52.606195993474394
2,326312,True,POINT (454627.71875 300070.96875),-1.194965116644453,52.59569643172892
3,1602717420,True,POINT (454548.0625 300635.03125),-1.1960481682829114,52.600774712287105
4,26820083,True,POINT (453996.9375 302372.78125),-1.2039013662656137,52.61645008992907
5,337952,True,POINT (454109.59375 300654.625),-1.2025181399382008,52.60099458424355
6,337983,True,POINT (454675.25 300652.5625),-1.194167595351448,52.600919543079705
7,1574531467,True,POINT (453693.375 303044.71875),-1.2082755728769745,52.622520092498235
8,1574530919,True,POINT (453912.21875 302507.625),-1.2051305810778858,52.617670583308616
9,337979,True,POINT (454542 300622.71875),-1.1961396950471879,52.60066464386376
10,326320,True,POINT (454463.46875 301353.90625),-1.1971789266359925,52.607245064769295
11,2627867454,True,POINT (454600.3125 300918.0625),-1.1952301834210772,52.6033136108893
12,326321,True,POINT (454543.75 301078),-1.196038953904607,52.60475693936871
13,624528960,True,POINT (454005.6875 302400.8125),-1.203767572684561,52.61670119129518
14,337992,True,POINT (454640.375 300753.90625),-1.1946657582040014,52.60183401086322
15,326313,True,POINT (454644.46875 300079.9375),-1.1947163855578642,52.59577537056348
16,767831162,True,POINT (453958.8125 302537.4375),-1.2044375898089832,52.617933946605056
17,34915808,True,POINT (454674.875 300462.84375),-1.1942044155913227,52.59921422073361
18,326341,True,POINT (452973.875 304611.21875),-1.218652250616557,52.636671715015794
19,624528992,True,POINT (453747.5 302973.1875),-1.2074877314764065,52.621871763083014
20,1574531439,True,POINT (453836.15625 302824.9375),-1.2062023574911747,52.620530397601584
21,337976,True,POINT (454556.875 300555.375),-1.1959311753505033,52.60005780832356
22,337986,True,POINT (454686.65625 300642.3125),-1.1940008938333706,52.600826261638716
23,315756403,True,POINT (454849.09375 300623.5),-1.1916059233824141,52.60064082086401
24,337985,True,POINT (454693.9375 300579.5),-1.1939037613970347,52.600260916106436
25,604992,True,POINT (454942.8125 300620.21875),-1.1902228933328611,52.60060187812334
26,34915811,True,POINT (454840.28125 300604.25),-1.1917392067071666,52.6004686725256
27,605000,True,POINT (455228.9375 300732.78125),-1.1859800748800398,52.601584742412925
28,339381072,True,POINT (455361.375 300551.5625),-1.1840551151394803,52.59994234315179
29,506077,True,POINT (455022.90625 300596.96875),-1.1890443257913976,52.60038479960525
30,506082,True,POINT (455155.78125 300453.28125),-1.1871066015577119,52.5990797688145
31,659435390,True,POINT (455136.84375 300583.1875),-1.1873645644877686,52.600249397003296
32,659435496,True,POINT (455177.78125 300496.90625),-1.1867745668844563,52.599469679544114
